time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-06-22 06:07:35.258 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,132354596864,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1529647654784, , , , ,3145728,1218, , , ,18,4,27,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,26239888,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-22 06:07:35.266 UTC, ,125,3159725,952,13872, , ,3, , , , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,132354596864,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1529647654784, , , , ,3145728,1218, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,26921456,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-22 06:31:39.621 UTC, ,125,3158965,952,13112, , ,3, ,19,3,0.16, , , , , , , ,3,3, ,2, ,2,1,5, ,18,9, , , , , , , , , , , , , ,1678,2, ,1333, , , , ,1723,132135616512,43,43, , , , , ,1,26, , , , , , , , , , , , , , , , , , , , , , , , , ,1723, ,1529649099169, , , , ,3145728,1678, , ,17,0, , , ,2, , , ,3, , , , ,17, ,2048,1, , , , ,100819,28, , , , , , , , , , ,27528560,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-22 06:31:39.636 UTC, ,125,3158965,952,13112, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,5, , , , , , , , , , , , , , , , ,1678,2, ,1333, , , , ,1723,132135616512,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1723, ,1529649099169, , , , ,3145728,1678, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,27528560,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-22 06:32:09.731 UTC, ,125,3158965,952,13112, , ,3, ,19,3,0.16, , , , , , , ,3,3, ,2, ,2,1,5, ,18,9, , , , , , , , , , , , , ,1678,2, ,1333, , , , ,1723,132135571456,43,43, , , , , ,1,26, , , , , , , , , , , , , , , , , , , , , , , , , ,1723, ,1529649129272, , , , ,3145728,1678, , ,17,0, , , ,2, , , ,3, , , , ,17, ,2048,1, , , , ,100819,28, , , , , , , , , , ,27573080,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-22 06:32:09.739 UTC, ,125,3158965,952,13112, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,5, , , , , , , , , , , , , , , , ,1678,2, ,1333, , , , ,1723,132135571456,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1723, ,1529649129272, , , , ,3145728,1678, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,27573080,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-22 06:33:37.155 UTC, ,125,3158965,952,13112, , ,3, ,19,3,0.16, , , , , , , ,3,3, ,2, ,2,1,5, ,18,9, , , , , , , , , , , , , ,1678,2, ,1333, , , , ,1723,132135456768,43,43, , , , , ,1,26, , , , , , , , , , , , , , , , , , , , , , , , , ,1723, ,1529649216711, , , , ,3145728,1678, , ,17,0, , , ,2, , , ,3, , , , ,17, ,2048,1, , , , ,100819,28, , , , , , , , , , ,27593656,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-22 06:33:37.164 UTC, ,125,3158965,952,13112, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,5, , , , , , , , , , , , , , , , ,1678,2, ,1333, , , , ,1723,132135456768,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1723, ,1529649216711, , , , ,3145728,1678, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,27593656,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-27 03:21:07.005 UTC, ,125,3158965,952,13112, , ,3, ,19,3,0.16, , , , , , , ,3,3, ,2, ,2,1,5, ,18,9, , , , , , , , , , , , , ,1678,2, ,1333, , , , ,1723,110018424832,43,43, , , , , ,1,26, , , , , , , , , , , , , , , , , , , , , , , , , ,1723, ,1530069666524, , , , ,3145728,1678, , ,17,0, , , ,2, , , ,3, , , , ,17, ,2048,1, , , , ,100819,28, , , , , , , , , , ,27853632,-1, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-27 03:21:07.013 UTC, ,125,3158965,952,13112, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,5, , , , , , , , , , , , , , , , ,1678,2, ,1333, , , , ,1723,110018424832,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1723, ,1530069666524, , , , ,3145728,1678, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,27853632,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
