time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-06-27 03:12:52.493 UTC, ,125,3159725,952,13872, , ,3, ,6, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1218,1,573,573,1, ,2,4,1266,110021087232,51,51, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1530069172025, , , , ,3145728,1218, , , ,5,4,15,4,3,4, , ,3,5, , , , , , , ,38,1, , ,12288,3,1228,4, , , , , , , , ,26871072,-1, , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-27 03:12:52.575 UTC, ,125,3171541,1184,25688, , ,4, ,3, , , , , , , , , ,4,4, , , , ,1,7, , , , , , , , , , , , , , , , ,1218,1,573,573, , , , ,1266,110021079040,93,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1266, ,1530069172025, , , , ,3145728,1452, , , ,0, , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , ,30960888,-1, , , , , , ,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , ,1, , , , , , , 
2018-06-27 03:14:10.243 UTC, ,125,3160285,1184,14432, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,22,10, , , , , , , , , , , , , ,9786,2, ,8913, , , , ,9831,110021824512,86,86, , , , , ,2,39, , , , , , , , , , , , , , , , , , , , , , , , , ,9831, ,1530069249771, , , , ,3145728,9786, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,119321,32, , , , , , , , , , ,28382560,-1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-27 03:14:10.723 UTC, ,589,3345189,1880,198872, , ,27, ,2443,1,0.00, , , , , , , ,27,7, , , ,13,12,6, ,5,2, , , , , , , , , , , , , ,9786,2, ,8913, , , , ,9831,110021832704,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9831, ,1530069249771, , , , ,3145728,203655, , ,4,0, , , ,1, , , ,3, , , , ,4,1, , , , , , ,13618,5, , , , , , , , ,1,8,18410848,-1, , , , , , ,1623, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,806, , ,3,806,2, ,800, , , , 
2018-06-27 03:14:18.243 UTC, ,125,3164757,1880,18904, , ,3, ,74,3,0.04, , , , , , , ,3,3, ,2, ,2,1,4, ,71,14, , , , , , , , , , , , , ,216842,3, ,203770, , , , ,216890,110021623808,51,51, , , , , ,27,1753, , , , , , , , , , , , , , , , , , , , , , , , , ,216890, ,1530069257755, , , , ,3145728,216842, , ,22,0, , , ,2, , , ,3, , , , ,22, ,2048,1, , , , ,592869,93, , , , , , , , , , ,28856568,-1, , , , , , ,63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-27 03:14:18.665 UTC, ,4109,3293053,1880,143216, , ,16,6,1623,13,0.01, , , , , , , ,16,6, , ,6,13,1,6, ,1617,811, , , , , , , , , , , , , ,216842,3, ,203770, , , , ,216890,110021619712,39,39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,216890, ,1530069257755, , , , ,3145728,278727, , ,833,0, , , ,1, , , ,3, , , , ,833,1, , , , , ,1,120693,835, , , , , , , , ,1,7,19156296,-1, , , , , , ,2434, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,807, ,806, , , , , , 
2018-06-27 04:21:27.401 UTC, ,125,3165013,1880,19160, , ,3, ,46,3,0.07, , , , , , , ,3,3, ,2, ,2,1,4, ,47,15, , , , , , , , , , , , , ,299718,4, ,278874, , , , ,299766,110012604416,36,36, , , , , ,37,2580, , , , , , , , , , , , , , , , , , , , , , , , , ,299766, ,1530073286816, , , , ,3145728,299718, , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,825534,122, , , , , , , , , , ,29591704,-1, , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-27 04:21:27.875 UTC, ,4109,3293309,1880,143472, , ,16, ,1623,13,0.01, , , , , , , ,16,6, , , ,13,1,6, ,1617,811, , , , , , , , , , , , , ,299718,4, ,278874, , , , ,299766,110012342272,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,299766, ,1530073286816, , , , ,3145728,361603, , ,827,0, , , ,1, , , ,3, , , , ,827,1, , , , , ,1,108405,829, , , , , , , , ,1,7,19751512,-1, , , , , , ,2434, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,807, ,806, , , , , , 
2018-06-27 04:44:39.441 UTC, ,125,3165037,1880,19184, , ,3,1,46,3,0.07, , , , , , , ,3,3, ,2,1,2,1,4, ,49,16, , , , , , , , , , , , , ,382684,5, ,361750, , , , ,382732,109994991616,29,29, , , , , ,47,3409, , , , , , , , , , , , , , , , , , , , , , , , , ,382732, ,1530074678967, , , , ,3145728,382684, , ,25,0, , , ,2, , , ,3, , , , ,25, ,2048,1, , , , ,993146,144, , , , , , , , , , ,29547568,-1, , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-27 04:44:39.881 UTC, ,4109,3293333,1880,143496, , ,16, ,1623,13,0.01, , , , , , , ,16,6, , , ,13,1,6, ,1617,811, , , , , , , , , , , , , ,382684,5, ,361750, , , , ,382732,109994991616,29,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,382732, ,1530074678967, , , , ,3145728,444569, , ,827,0, , , ,1, , , ,3, , , , ,827,1, , , , , ,1,108405,829, , , , , , , , ,1,9,19468896,-1, , , , , , ,2434, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,807, ,806, , , , , , 
